Date,Open,Close,High,Low,Volume,code,Adj Close
2018-03-05,14.487,14.429,14.934,14.342,1215889.0,600048,14.429
2018-03-06,14.565,15.099,15.138,14.177,1742183.0,600048,15.099
2018-03-07,15.021,14.963,15.4,14.818,1131347.0,600048,14.963
2018-03-08,14.973,15.089,15.196,14.827,758501.0,600048,15.089
2018-03-09,15.157,14.808,15.245,14.555,1103530.0,600048,14.808
2018-03-12,14.662,14.148,14.662,13.953,2009627.0,600048,14.148
2018-03-13,14.06,14.109,14.293,14.012,973978.0,600048,14.109
2018-03-14,14.012,14.148,14.274,13.885,849778.0,600048,14.148
2018-03-15,14.148,14.167,14.254,13.992,760647.0,600048,14.167
2018-03-16,14.109,14.186,14.429,14.089,955962.0,600048,14.186
2018-03-19,14.138,13.662,14.138,13.594,1191869.0,600048,13.662
2018-03-20,13.458,13.526,13.623,13.312,906166.0,600048,13.526
2018-03-21,13.584,13.604,13.924,13.478,995003.0,600048,13.604
2018-03-22,13.545,13.225,13.652,13.138,1097283.0,600048,13.225
2018-03-23,12.72,12.924,12.943,12.351,2109759.0,600048,12.924
2018-03-26,12.769,12.662,12.905,12.429,1071208.0,600048,12.662
2018-03-27,12.963,12.72,13.07,12.565,1101884.0,600048,12.72
2018-03-28,12.545,12.701,13.06,12.487,1091350.0,600048,12.701
2018-03-29,12.769,13.361,13.672,12.118,2806956.0,600048,13.361
2018-03-30,13.206,13.079,13.361,13.041,1178819.0,600048,13.079
2018-04-02,13.167,13.244,13.643,13.07,1509565.0,600048,13.244
2018-04-03,12.973,13.138,13.283,12.827,833386.0,600048,13.138
